sector,standard_title,level,standard_reference,version,product_or_qualification_number,status,assessment_method_1,method_1_duration,assessment_method_2,method_2_duration,gateway_requirements,grading,official_overview_url,date_checked,verification_notes
Care Services,Adult Care Worker,2,ST0005,1.2,610/4957/8,Legacy,Situational Judgement Test,90 minutes; 60 multiple-choice questions,Professional Discussion underpinned by portfolio,45 minutes,"Level 2 Diploma in Care; Care Certificate Standards; self-assessment completed within the last month of learning; employer confirms occupational competence",Fail/Pass/Merit/Distinction,https://innovateawarding.org/apprenticeships/level-2-adult-care-worker-v12-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Adult Care Worker,2,ST0005,1.3,610/6652/7,Legacy,Situational Judgement Test,90 minutes; 60 multiple-choice questions,Professional Discussion underpinned by portfolio,45 minutes,"Level 2 Diploma in Care; Care Certificate Standards; self-assessment completed within the last month of learning; employer confirms occupational competence",Fail/Pass/Merit/Distinction,https://innovateawarding.org/apprenticeships/level-2-adult-care-worker-v13-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Adult Care Worker,2,ST0005,2.0,,Current,Level 2 Adult Social Care Certificate,Qualification-based apprenticeship assessment,None,None,Requirements delivered through the Level 2 Adult Social Care Certificate,Not stated as a separate EPA grade,https://innovateawarding.org/apprenticeships/level-2-adult-care-worker-v20-apprenticeship/,2026-07-22,Innovate states there is no separate apprenticeship assessment for v2.0
Care Services,Lead Adult Care Worker,3,ST0006,1.1,610/1956/2,Legacy,Situational Judgement Test,90 minutes online,Professional Discussion,45 minutes remote,"Care Certificate; Level 3 Diploma in Adult Care; Level 2 Maths and English if applicable",Fail/Pass/Merit/Distinction,https://innovateawarding.org/apprenticeships/level-3-lead-adult-care-worker-v11-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Lead Adult Care Worker,3,ST0006,1.2,610/4973/6,Legacy,Situational Judgement Test,90 minutes online,Professional Discussion,45 minutes remote,"Care Certificate; Level 3 Diploma in Adult Care; Level 2 Maths and English if applicable",Fail/Pass/Merit/Distinction,https://innovateawarding.org/apprenticeships/level-3-lead-adult-care-worker-v12-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Lead Adult Care Worker,3,ST0006,1.3,610/7454/8,Current,Situational Judgement Test,90 minutes online,Professional Discussion,45 minutes remote,"Care Certificate; Level 3 Diploma in Adult Care; Level 2 Maths and English",Fail/Pass/Merit/Distinction,https://innovateawarding.org/apprenticeships/level-3-lead-adult-care-worker-v13-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Lead Practitioner in Adult Care,4,ST0007,1.0,610/1966/5,Legacy,Observation of Practice,75 minutes: 60-minute observation plus 15-minute questioning,Professional Discussion underpinned by portfolio,90 minutes,"Level 4 Diploma in Adult Care; Level 2 English and Maths if applicable; portfolio to underpin professional discussion",Fail/Pass/Distinction,https://innovateawarding.org/apprenticeships/level-4-lead-practitioner-in-adult-care-v10-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Lead Practitioner in Adult Care,4,ST0007,1.1,610/5007/6,Legacy,Observation of Practice,75 minutes: 60-minute observation plus 15-minute questioning,Professional Discussion underpinned by portfolio,90 minutes,"Employer confirms occupational competence; Level 4 Diploma in Adult Care; Level 2 English and Maths if applicable",Fail/Pass/Distinction,https://innovateawarding.org/apprenticeships/level-4-lead-practitioner-in-adult-care-v11-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Lead Practitioner in Adult Care,4,ST0007,1.2,610/6922/X,Current,Observation of Practice,75 minutes: 60-minute observation plus 15-minute questioning,Professional Discussion underpinned by portfolio,90 minutes,"Employer confirms occupational competence; Level 4 Diploma in Adult Care; Level 2 English and Maths if applicable",Fail/Pass/Distinction,https://innovateawarding.org/apprenticeships/level-4-lead-practitioner-in-adult-care-v12-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Leader in Adult Care,5,ST0008,1.0,610/1968/9,Legacy,Observation of Leadership,90 minutes: 60-minute observation plus 30-minute questioning,Professional Discussion,90 minutes,"Level 5 Diploma in Leadership and Management for Adult Care; Level 2 English and Maths if applicable",Fail/Pass/Distinction,https://innovateawarding.org/apprenticeships/level-5-leader-in-adult-care-v10-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Leader in Adult Care,5,ST0008,1.1,610/5550/5,Legacy,Observation of Leadership,90 minutes: 60-minute observation plus 30-minute questioning,Professional Discussion,90 minutes,"Level 5 Diploma in Leadership and Management for Adult Care; Level 2 English and Maths if applicable",Fail/Pass/Distinction,https://innovateawarding.org/apprenticeships/level-5-leader-in-adult-care-v11-apprenticeship/,2026-07-22,Public Innovate overview
Care Services,Leader in Adult Care,5,ST0008,1.2,610/7455/X,Current,Observation of Leadership,90 minutes: 60-minute observation plus 30-minute questioning,Professional Discussion,90 minutes,"Level 5 Diploma in Leadership and Management for Adult Care; Level 2 English and Maths if applicable",Fail/Pass/Distinction,https://innovateawarding.org/apprenticeships/level-5-leader-in-adult-care-v12-apprenticeship/,2026-07-22,Public Innovate overview